C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,40,University      ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,7,Commodore       ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,67,TEXT GRABBER    ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,67,GEOMERGE        ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,38,text manager    ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,4,EasyScript Form ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,3,PaperClip Form  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,2,SpeedScript Form,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,3,WordWriter Form ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,2,Generic I Form  ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,2,Generic II Form ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,2,Generic III Form,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,44,LW_Roma         ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,44,LW_Cal          ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,46,LW_Greek        ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,49,LW_Barrows      ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,111,GEOSPELL        ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,387,GeoDictionary   ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,20,CONVERT         ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,8,ReadMe 1581     ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,4,gotoldpc        ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,217,Big Clips       ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\GEOS64.D81,124,geoc.10a        ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,0,GEOS DRIVERS    ,   2A
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,3,COMM 1351       ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,22,PRMGR64.CVT     ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,15,CALC64.CVT      ,USR
C:\Users\birtj\OneDrive\Vintage Computers\C64\C64_Master_Directory\Image_Files\geos_drivers.d64,19,NOTE64.CVT      ,USR
